,Source Word,Derived Word,Affix
0,abhor,abhorration,-ation
1,abort,abortation,-ation
2,abscess,abscessation,-ation
3,absent,absentation,-ation
4,absolutise,absolutisation,-ation
5,absolutize,absolutization,-ation
6,academicize,academicization,-ation
7,academize,academization,-ation
8,accept,acceptation,-ation
9,accessorize,accessorization,-ation
10,acclimatize,acclimatization,-ation
11,accredit,accreditation,-ation
12,culture,acculturation,ad-;-ation
13,accustomize,accustomization,-ation
14,acetylglucosaminyl,acetylglucosaminylation,-ation
15,acier,acieration,-ation
16,actualize,actualization,-ation
17,acyl,acylation,-ation
18,address,addressation,-ation
19,adipocere,adipoceration,-ation
20,adjuvant,adjuvantation,-ation
21,adonize,adonization,-ation
22,adore,adoration,-ation
23,adorn,adornation,-ation
24,adverbialize,adverbialization,-ation
25,%C3%A6stheticize,%C3%A6stheticization,-ation
26,afferent,afferentation,-ation
27,affix,affixation,-ation
28,aggrandize,aggrandization,-ation
29,agonize,agonization,-ation
30,alanyl,alanylation,-ation
31,albuminize,albuminization,-ation
32,alea,aleation,-ation
33,alembic,alembication,-ation
34,alienize,alienization,-ation
35,alkanoyl,alkanoylation,-ation
36,alkenyl,alkenylation,-ation
37,alkoxyl,alkoxylation,-ation
38,alkyl,alkylation,-ation
39,allyl,allylation,-ation
40,alveolar,alveolarization,-ization;-ation
41,amend,amendation,-ation
42,Americanise,Americanisation,-ation
43,Americanize,Americanization,-ation
44,amide,amidation,-ation
45,amine,amination,-ation
46,aminomethyl,aminomethylation,-ation
47,ammonia,ammoniation,-ation
48,anaesthetize,anaesthetization,-ation
49,analogize,analogization,-ation
50,analyze,analyzation,-ation
51,anathematize,anathematization,-ation
52,anatomize,anatomization,-ation
53,androgenize,androgenization,-ation
54,androgynize,androgynization,-ation
55,anonymize,anonymization,-ation
56,antagonize,antagonization,-ation
57,antique,antiquation,-ation
58,apologize,apologization,-ation
59,aqua,aquation,-ation
60,archaize,archaization,-ation
61,arcticize,arcticization,-ation
62,arginyl,arginylation,-ation
63,ariolari,ariolation,-ation
64,arylamine,arylamination,-ation
65,aryl,arylation,-ation
66,aspire,aspiration,-ation
67,astro,astration,-ation
68,atheize,atheization,-ation
69,attemper,attemperation,-ation
70,attest,attestation,-ation
71,audio,audiation,-ation
72,austenitize,austenitization,-ation
73,authorize,authorization,-ation
74,autoclave,autoclavation,-ation
75,automatise,automatisation,-ation
76,automatize,automatization,-ation
77,toxic,autotoxication,auto-;-ation
78,avolate,avolation,-ation
79,axiomatize,axiomatization,-ation
80,aziridine,aziridination,-ation
81,backward,backwardation,-ation
82,bacterize,bacterization,-ation
83,ballot,ballotation,-ation
84,balsam,balsamation,-ation
85,banalise,banalisation,-ation
86,banalise,banalization,-ation
87,barbarize,barbarization,-ation
88,basilectalize,basilectalization,-ation
89,benzoyl,benzoylation,-ation
90,benzyl,benzylation,-ation
91,bessemerize,bessemerization,-ation
92,angulation,biangulation,bi-;-ation
93,bili,biliation,-ation
94,bioimmure,bioimmuration,-ation
95,biologize,biologization,-ation
96,bloat,bloatation,-ation
97,boron,boronation,-ation
98,boryl,borylation,-ation
99,bosonize,bosonization,-ation
100,bother,botheration,-ation
101,bowdlerize,bowdlerization,-ation
102,bromine,bromination,-ation
103,brutalize,brutalization,-ation
104,bugger,buggeration,-ation
105,butadienyl,butadienylation,-ation
106,butyryl,butyrylation,-ation
107,calcify,calcification,-ation
108,calcine,calcination,-ation
109,calendarize,calendarization,-ation
110,canalise,canalisation,-ation
111,canalize,canalization,-ation
112,cancel,cancellation,-ation
113,cancer,canceration,-ation
114,cannula,cannulation,-ation
115,canonicalize,canonicalization,-ation
116,canonize,canonization,-ation
117,cantonize,cantonization,-ation
118,capitalise,capitalisation,-ation
119,capitalize,capitalization,-ation
120,capsule,capsulation,-ation
121,capsulize,capsulization,-ation
122,carbamidomethyl,carbamidomethylation,-ation
123,carbonate,carbonatation,-ation
124,carbonyl,carbonylation,-ation
125,carboxymethyl,carboxymethylation,-ation
126,carburize,carburization,-ation
127,carina,carination,-ation
128,catalyse,catalysation,-ation
129,catalyze,catalyzation,-ation
130,catastrophise,catastrophisation,-ation
131,catastrophize,catastrophization,-ation
132,catechize,catechization,-ation
133,categorize,categorization,-ation
134,cause,causation,-ation
135,cauterize,cauterization,-ation
136,cavil,cavillation,-ation
137,celebritize,celebritization,-ation
138,cellule,cellulation,-ation
139,cement,cementation,-ation
140,centralise,centralisation,-ation
141,centrifuge,centrifugation,-ation
142,cerium,ceriation,-ation
143,characterize,characterization,-ation
144,chatter,chatteration,-ation
145,chickenize,chickenization,-ation
146,chloramine,chloramination,-ation
147,chloromethyl,chloromethylation,-ation
148,chrism,chrismation,-ation
149,Christianize,Christianization,-ation
150,citrine,citrination,-ation
151,citrulline,citrullination,-ation
152,classicize,classicization,-ation
153,cognize,cognization,-ation
154,colloquialize,colloquialization,-ation
155,commercialize,commercialization,-ation
156,commoditize,commoditization,-ation
157,communise,communisation,-ation
158,communize,communization,-ation
159,compartmentalise,compartmentalisation,-ation
160,compartmentalize,compartmentalization,-ation
161,compartment,compartmentation,-ation
162,complex,complexation,-ation
163,componentize,componentization,-ation
164,compromise,compromisation,-ation
