Affix,Source Word,Derived Word
pyro-,-phyte,pyrophyte
-ist,crusader,crusaderist
-ally,stereotactic,stereotactically
-able,rectify,rectifiable
-ic,tergite,tergitic
-ous,steatoma,steatomatous
-otic,homeosis,homeotic
-ly,convenient,conveniently
-ly,recurring,recurringly
-ly,tetrahedral,tetrahedrally
-like,suitcase,suitcaselike
-ical,phycology,phycological
-ian,Huntingdon,Huntingdonian
-ly,midget,midgetly
-ly,pernicious,perniciously
-ic,rune,Runic
-ish,Lapp,Lappish
-ly,categorical,categorically
-ly,defthanded,defthandedly
-age,mill,millage
-ly,unfussy,unfussily
-ic,sitcom,sitcomic
-like,vapor,vaporlike
-ed,besuit,besuited
-able,highlight,highlightable
-ous,-gen,-genous
-ed,tailcoat,tailcoated
-y,room,roomy
-y,tulip,tulipy
-ical,philology,philological
-o,Congregationalist,Congo
-able,unsate,unsatable
-ly,excruciating,excruciatingly
-ian,Cascadia,Cascadian
-ic,oligaemia,oligaemic
deflagrare,deflagratio,deflagration
-ly,pregnant,pregnantly
-y,foresight,foresighty
-ally,aquaponic,aquaponically
-ly,repellent,repellently
-ist,superrealism,superrealist
-ly,viewable,viewably
-y,rave,ravey
-ing,hybrid,hybriding
-an,auroreus,aurorean
-ist,peak,peakist
-ed,hassock,hassocked
-al,amebicide,amebicidal
-able,guillotine,guillotinable
-ed,balcony,balconied
-y,stilt,stilty
-ist,panel,panellist
-ly,morning,morningly
-ly,seely,seelily
-ed,coverall,coveralled
-an,Hemingway,Hemingwayan
-ist,funeral,funeralist
-ally,meromorphic,meromorphically
-ic,alopecia,alopecic
-ation,mesmerize,mesmerization
-like,blade,bladelike
-y,skitter,skittery
-ist,processional,processionalist
-ly,operative,operatively
-ish,Pollyanna,Pollyannish
-ly,howling,howlingly
-ish,sot,sottish
-an,Medina,Medinan
-ist,Timon,Timonist
-y,nutmeg,nutmeggy
-like,arch,archlike
-like,kebab,kebablike
-al,hormone,hormonal
-ist,piano,pianoist
-able,tether,tetherable
-ist,Sinto,Sintoist
-oid,prase,prasoid
-ish,joy,joyish
-ly,insufferable,insufferably
-ly,dichotomous,dichotomously
-like,goth,goth-like
-al,haemorrhoid,haemorrhoidal
-ist,glacial,glacialist
-ation,ethyl,ethylation
-ship,candidate,candidateship
-ic,alkalophile,alkalophilic
-ly,stemmatological,stemmatologically
-ly,pendulous,pendulously
-ie,buzz,buzzie
-ist,chirology,chirologist
-ly,atypical,atypically
-ic,gastrinemia,gastrinemic
-an,Liguori,Liguorian
-ly,dialectical,dialectically
-ly,plunging,plungingly
-ly,reposeful,reposefully
-ly,discriminatory,discriminatorily
-like,craftsman,craftsmanlike
-ed,imbrue,imbrued
-ly,execrative,execratively
